Month,How_to_suicide_popularity
2009-01,0
2009-02,0
2009-03,35
2009-04,0
2009-05,35
2009-06,0
2009-07,0
2009-08,31
2009-09,30
2009-10,32
2009-11,0
2009-12,32
2010-01,62
2010-02,0
2010-03,0
2010-04,32
2010-05,0
2010-06,0
2010-07,28
2010-08,0
2010-09,28
2010-10,0
2010-11,29
2010-12,31
2011-01,0
2011-02,26
2011-03,35
2011-04,13
2011-05,23
2011-06,44
2011-07,40
2011-08,9
2011-09,9
2011-10,9
2011-11,10
2011-12,27
2012-01,0
2012-02,26
2012-03,25
2012-04,9
2012-05,0
2012-06,16
2012-07,29
2012-08,7
2012-09,7
2012-10,27
2012-11,0
2012-12,0
2013-01,6
2013-02,0
2013-03,12
2013-04,20
2013-05,6
2013-06,6
2013-07,0
2013-08,28
2013-09,28
2013-10,16
2013-11,0
2013-12,17
2014-01,21
2014-02,23
2014-03,15
2014-04,33
2014-05,27
2014-06,6
2014-07,0
2014-08,11
2014-09,11
2014-10,37
2014-11,32
2014-12,26
2015-01,26
2015-02,0
2015-03,15
2015-04,21
2015-05,5
2015-06,20
2015-07,38
2015-08,14
2015-09,0
2015-10,9
2015-11,23
2015-12,5
2016-01,5
2016-02,0
2016-03,18
2016-04,21
2016-05,10
2016-06,0
2016-07,5
2016-08,5
2016-09,21
2016-10,10
2016-11,0
2016-12,15
2017-01,20
2017-02,0
2017-03,0
2017-04,0
2017-05,5
2017-06,5
2017-07,5
2017-08,5
2017-09,21
2017-10,25
2017-11,26
2017-12,26
2018-01,20
2018-02,16
2018-03,15
2018-04,21
2018-05,20
2018-06,14
2018-07,9
2018-08,9
2018-09,39
2018-10,24
2018-11,30
2018-12,14
2019-01,5
2019-02,40
2019-03,14
2019-04,41
2019-05,47
2019-06,28
2019-07,0
2019-08,26
2019-09,13
2019-10,43
2019-11,26
2019-12,17
2020-01,29
2020-02,9
2020-03,12
2020-04,25
2020-05,32
2020-06,29
2020-07,33
2020-08,40
2020-09,34
2020-10,21
2020-11,27
2020-12,38
2021-01,49
2021-02,26
2021-03,24
2021-04,73
2021-05,44
2021-06,48
2021-07,38
2021-08,84
2021-09,42
2021-10,100
2021-11,76
2021-12,57
